"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","545","login user visual_user","webkit","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","285","login user performance_glitch_user","chromium","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","1751","Register test","chromium","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","350","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","639","inventory item test","firefox","2026-09-22","passed","2026-09-22","","day30/02-inventory.spec.ts","",""
"","1890","Register test","chromium","2026-09-22","passed","2026-09-22","","day32/01-register.spec.ts","",""
"","523","login user standard_user","webkit","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","1104","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day29/01-login.spec.ts","",""
"","859","login user visual_user","firefox","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","4450","login test","chromium","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","5333","login test","firefox","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","8668","login test","webkit","2026-09-22","passed","2026-09-22","","day30/03-open-source.spec.ts","",""
"","312","login user standard_user","chromium","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","568","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","316","inventory item test","chromium","2026-09-22","passed","2026-09-22","","day30/02-inventory.spec.ts","",""
"","434","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day29/01-login.spec.ts","",""
"","544","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day32/02-faker-usage.spec.ts","",""
"","278","login user visual_user","chromium","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","5292","login user performance_glitch_user","chromium","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","255","login user visual_user","chromium","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","3362","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day29/01-login.spec.ts","",""
"","5734","login test","chromium","2026-09-22","passed","2026-09-22","","day30/03-open-source.spec.ts","",""
"","295","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","247","login user standard_user","chromium","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","5575","login user performance_glitch_user","webkit","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","508","Invalid login","webkit","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","310","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day32/02-faker-usage.spec.ts","",""
"","581","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day32/02-faker-usage.spec.ts","",""
"","380","Invalid login","chromium","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","2256","Register test","firefox","2026-09-22","passed","2026-09-22","","day32/01-register.spec.ts","",""
"","4997","login test","webkit","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","594","login user standard_user","firefox","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","5536","login user performance_glitch_user","webkit","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","5625","login user performance_glitch_user","firefox","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","646","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","2519","Register test","webkit","2026-09-22","passed","2026-09-22","","day32/01-register.spec.ts","",""
"","571","login user standard_user","webkit","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","527","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","592","inventory item test","webkit","2026-09-22","passed","2026-09-22","","day30/02-inventory.spec.ts","",""
"","651","login user visual_user","webkit","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","1704","login user standard_user","firefox","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","615","Invalid login","firefox","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","2493","Register test","webkit","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","7172","login test","webkit","2026-09-22","passed","2026-09-22","","day30/04-snack-attack.spec.ts","",""
"","5698","login user performance_glitch_user","firefox","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","7212","login test","firefox","2026-09-22","passed","2026-09-22","","day30/04-snack-attack.spec.ts","",""
"","576","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","9049","login test","chromium","2026-09-22","passed","2026-09-22","","day30/04-snack-attack.spec.ts","",""
"","5723","login test","firefox","2026-09-22","passed","2026-09-22","","day30/03-open-source.spec.ts","",""
"","623","login user visual_user","firefox","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","2203","Register test","firefox","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
